<gps i=123 t=1344346879008 x=30.25838417 y=59.94150881 z=34.3 s=0.0 c=0.0 a=23.0>
<gps i=123 t=1344346880005 x=30.25838358 y=59.94150794 z=34.3 s=0.0 c=0.0 a=25.0>
<gps i=123 t=1344346881005 x=30.25838286 y=59.94150761 z=34.3 s=0.0 c=0.0 a=27.0>
<gps i=123 t=1344346882005 x=30.25838284 y=59.94150597 z=34.3 s=0.0 c=0.0 a=25.0>
<gps i=123 t=1344346883011 x=30.25838197 y=59.94150489 z=34.3 s=0.0 c=0.0 a=24.0>
<gps i=123 t=1344346884001 x=30.25838183 y=59.94150481 z=34.3 s=0.0 c=0.0 a=23.0>
<gps i=123 t=1344346885002 x=30.25838179 y=59.94150456 z=34.3 s=0.0 c=0.0 a=21.0>
<gps i=123 t=1344346886020 x=30.25838219 y=59.94150539 z=34.3 s=0.0 c=0.0 a=21.0>
<gps i=123 t=1344346887016 x=30.25838197 y=59.94150514 z=34.3 s=0.0 c=0.0 a=20.0>
<gps i=123 t=1344346888014 x=30.25838221 y=59.94150535 z=34.3 s=0.0 c=0.0 a=20.0>
<gps i=123 t=1344346889001 x=30.25838244 y=59.941506 z=34.3 s=0.0 c=0.0 a=23.0>
<gps i=123 t=1344346890017 x=30.25838226 y=59.94150568 z=34.3 s=0.0 c=0.0 a=24.0>
<gps i=123 t=1344346891014 x=30.2583825 y=59.9415057 z=34.3 s=0.0 c=0.0 a=26.0>
<gps i=123 t=1344346892017 x=30.25838274 y=59.94150598 z=34.3 s=0.0 c=0.0 a=28.0>
<gps i=123 t=1344346893017 x=30.2583827 y=59.94150584 z=34.3 s=0.0 c=0.0 a=29.0>
<gps i=123 t=1344346894006 x=30.2583829 y=59.94150585 z=34.3 s=0.0 c=0.0 a=27.0>
<gps i=123 t=1344346895006 x=30.25838354 y=59.94150737 z=34.3 s=0.0 c=0.0 a=25.0>
<gps i=123 t=1344346896013 x=30.25838343 y=59.94150758 z=34.3 s=0.0 c=0.0 a=24.0>
<gps i=123 t=1344346897006 x=30.25838308 y=59.9415082 z=34.3 s=0.0 c=0.0 a=23.0>
<gps i=123 t=1344346898014 x=30.25838233 y=59.94150764 z=34.3 s=0.0 c=0.0 a=23.0>
<gps i=123 t=1344346899018 x=30.25838113 y=59.94150662 z=34.3 s=0.0 c=0.0 a=23.0>
<gps i=123 t=1344346900012 x=30.25838067 y=59.94150643 z=34.3 s=0.0 c=0.0 a=22.0>
<gps i=123 t=1344346901006 x=30.25838109 y=59.94150621 z=34.3 s=0.0 c=0.0 a=21.0>
<gps i=123 t=1344346902011 x=30.2583811 y=59.94150593 z=34.3 s=0.0 c=0.0 a=20.0>
<gps i=123 t=1344346903019 x=30.25838147 y=59.94150653 z=34.3 s=0.0 c=0.0 a=19.0>
<gps i=123 t=1344346904014 x=30.25838209 y=59.94150499 z=34.3 s=0.0 c=0.0 a=19.0>
<gps i=123 t=1344346905012 x=30.25838167 y=59.94150547 z=34.3 s=0.0 c=0.0 a=19.0>
<gps i=123 t=1344346906018 x=30.25838241 y=59.94150665 z=34.3 s=0.0 c=0.0 a=19.0>
<gps i=123 t=1344346907017 x=30.25838183 y=59.94150674 z=34.3 s=0.0 c=0.0 a=19.0>
<gps i=123 t=1344346908007 x=30.25838172 y=59.94150712 z=34.3 s=0.0 c=0.0 a=19.0>
<gps i=123 t=1344346908992 x=30.25838199 y=59.94150747 z=34.3 s=0.0 c=0.0 a=19.0>
<gps i=123 t=1344346910015 x=30.25838247 y=59.94150694 z=34.3 s=0.0 c=0.0 a=18.0>
<gps i=123 t=1344346910999 x=30.25838215 y=59.94150678 z=34.3 s=0.0 c=0.0 a=17.0>
<gps i=123 t=1344346912002 x=30.25838324 y=59.94150717 z=34.3 s=0.0 c=0.0 a=17.0>
<gps i=123 t=1344346913018 x=30.25838455 y=59.94150772 z=34.3 s=0.0 c=0.0 a=17.0>
<gps i=123 t=1344346914000 x=30.25838395 y=59.94150811 z=34.3 s=0.0 c=0.0 a=17.0>
<gps i=123 t=1344346915017 x=30.25838436 y=59.94150887 z=34.3 s=0.0 c=0.0 a=17.0>
<gps i=123 t=1344346916007 x=30.25838468 y=59.94150884 z=34.3 s=0.0 c=0.0 a=19.0>
<gps i=123 t=1344346917005 x=30.25838436 y=59.94150838 z=34.3 s=0.0 c=0.0 a=21.0>
<gps i=123 t=1344346918008 x=30.25838491 y=59.94150951 z=34.3 s=0.0 c=0.0 a=23.0>
<gps i=123 t=1344346919018 x=30.25838505 y=59.94151009 z=34.3 s=0.0 c=0.0 a=24.0>
<gps i=123 t=1344346920007 x=30.25838558 y=59.94151084 z=34.3 s=0.0 c=0.0 a=22.0>
<gps i=123 t=1344346921007 x=30.25838652 y=59.94151193 z=34.3 s=0.0 c=0.0 a=21.0>
<gps i=123 t=1344346922015 x=30.25838606 y=59.94151229 z=34.3 s=0.0 c=0.0 a=20.0>
<gps i=123 t=1344346923007 x=30.25838662 y=59.9415131 z=34.3 s=0.0 c=0.0 a=19.0>
<gps i=123 t=1344346924007 x=30.25838638 y=59.94151288 z=34.3 s=0.0 c=0.0 a=18.0>
<gps i=123 t=1344346925006 x=30.25838727 y=59.94151371 z=34.3 s=0.0 c=0.0 a=18.0>
<gps i=123 t=1344346926018 x=30.2583876 y=59.94151426 z=34.3 s=0.0 c=0.0 a=17.0>
<gps i=123 t=1344346926998 x=30.25838814 y=59.941515 z=34.3 s=0.0 c=0.0 a=19.0>
<gps i=123 t=1344346928027 x=30.25838791 y=59.94151474 z=34.3 s=0.0 c=0.0 a=21.0>
<gps i=123 t=1344346929019 x=30.2583867 y=59.94151434 z=34.3 s=0.0 c=0.0 a=22.0>
<gps i=123 t=1344346930012 x=30.25838678 y=59.94151413 z=34.3 s=0.0 c=0.0 a=24.0>
<gps i=123 t=1344346931017 x=30.25838685 y=59.94151355 z=34.3 s=0.0 c=0.0 a=25.0>
<gps i=123 t=1344346932006 x=30.25838608 y=59.94151332 z=34.3 s=0.0 c=0.0 a=26.0>
<gps i=123 t=1344346933005 x=30.25838541 y=59.94151283 z=34.3 s=0.0 c=0.0 a=27.0>
<gps i=123 t=1344346934005 x=30.2583848 y=59.94151225 z=34.3 s=0.0 c=0.0 a=28.0>
<gps i=123 t=1344346935008 x=30.25838487 y=59.94151231 z=34.3 s=0.0 c=0.0 a=28.0>
<gps i=123 t=1344346936001 x=30.25838561 y=59.94151228 z=34.4 s=0.0 c=0.0 a=29.0>
<gps i=123 t=1344346937008 x=30.25838479 y=59.94151129 z=34.4 s=0.0 c=0.0 a=30.0>
<gps i=123 t=1344346938014 x=30.25838432 y=59.94151116 z=34.4 s=0.0 c=0.0 a=30.0>
<gps i=123 t=1344346939000 x=30.25838471 y=59.94151136 z=34.4 s=0.0 c=0.0 a=31.0>
<gps i=123 t=1344346940006 x=30.25838323 y=59.94151013 z=34.4 s=0.0 c=0.0 a=31.0>
<gps i=123 t=1344346941005 x=30.25838213 y=59.94150947 z=34.3 s=0.0 c=0.0 a=31.0>
<gps i=123 t=1344346942009 x=30.2583818 y=59.94150977 z=34.3 s=0.0 c=0.0 a=31.0>
<gps i=123 t=1344346942997 x=30.25838117 y=59.94150964 z=34.3 s=0.0 c=0.0 a=32.0>
<gps i=123 t=1344346944009 x=30.25838063 y=59.94150935 z=34.3 s=0.0 c=0.0 a=32.0>
<gps i=123 t=1344346945001 x=30.25838056 y=59.94150957 z=34.3 s=0.0 c=0.0 a=32.0>
<gps i=123 t=1344346946009 x=30.25838051 y=59.94150915 z=34.3 s=0.0 c=0.0 a=31.0>
<gps i=123 t=1344346947004 x=30.25838048 y=59.94150961 z=34.3 s=0.0 c=0.0 a=31.0>
<gps i=123 t=1344346948001 x=30.25837964 y=59.94150973 z=34.3 s=0.0 c=0.0 a=31.0>
<gps i=123 t=1344346949005 x=30.25837907 y=59.94150924 z=34.3 s=0.0 c=0.0 a=31.0>
<gps i=123 t=1344346950009 x=30.25837923 y=59.941509 z=34.3 s=0.0 c=0.0 a=31.0>
<gps i=123 t=1344346951005 x=30.25837937 y=59.94150932 z=34.3 s=0.0 c=0.0 a=32.0>
<gps i=123 t=1344346951997 x=30.25837994 y=59.94151013 z=34.3 s=0.0 c=0.0 a=32.0>
<gps i=123 t=1344346953005 x=30.25838053 y=59.94151074 z=34.3 s=0.0 c=0.0 a=28.0>
<gps i=123 t=1344346954005 x=30.2583802 y=59.94151067 z=34.3 s=0.0 c=0.0 a=26.0>
<gps i=123 t=1344346955006 x=30.25838058 y=59.9415112 z=34.3 s=0.0 c=0.0 a=24.0>
<gps i=123 t=1344346956005 x=30.25838094 y=59.9415115 z=34.3 s=0.0 c=0.0 a=21.0>
<gps i=123 t=1344346956999 x=30.25838068 y=59.94151136 z=34.3 s=0.0 c=0.0 a=21.0>
<gps i=123 t=1344346958005 x=30.25838093 y=59.94151193 z=34.3 s=0.0 c=0.0 a=20.0>
<gps i=123 t=1344346958998 x=30.2583812 y=59.94151239 z=34.3 s=0.0 c=0.0 a=19.0>
<gps i=123 t=1344346960002 x=30.25838115 y=59.94151241 z=34.3 s=0.0 c=0.0 a=20.0>
<gps i=123 t=1344346961004 x=30.25838174 y=59.94151258 z=34.3 s=0.0 c=0.0 a=22.0>
<gps i=123 t=1344346962013 x=30.25838173 y=59.94151254 z=34.3 s=0.0 c=0.0 a=23.0>
<gps i=123 t=1344346963002 x=30.25838246 y=59.94151335 z=34.3 s=0.0 c=0.0 a=24.0>
<gps i=123 t=1344346964000 x=30.25838212 y=59.94151278 z=34.3 s=0.0 c=0.0 a=25.0>
<gps i=123 t=1344346965010 x=30.25838221 y=59.94151315 z=34.3 s=0.0 c=0.0 a=26.0>
<gps i=123 t=1344346966007 x=30.25838182 y=59.94151224 z=34.3 s=0.0 c=0.0 a=27.0>
<gps i=123 t=1344346967008 x=30.25838131 y=59.94151166 z=34.3 s=0.0 c=0.0 a=28.0>
<gps i=123 t=1344346968002 x=30.25838097 y=59.94151132 z=34.3 s=0.0 c=0.0 a=29.0>
<gps i=123 t=1344346969012 x=30.25838106 y=59.94151165 z=34.3 s=0.0 c=0.0 a=30.0>
<gps i=123 t=1344346969999 x=30.25838211 y=59.94151233 z=34.3 s=0.0 c=0.0 a=30.0>
<gps i=123 t=1344346970999 x=30.25838162 y=59.94151194 z=34.3 s=0.0 c=0.0 a=31.0>
<gps i=123 t=1344346971990 x=30.25838202 y=59.94151237 z=34.3 s=0.0 c=0.0 a=31.0>
<gps i=123 t=1344346973006 x=30.25838201 y=59.94151269 z=34.3 s=0.0 c=0.0 a=28.0>
<gps i=123 t=1344346974001 x=30.25838235 y=59.94151342 z=34.3 s=0.0 c=0.0 a=26.0>
<gps i=123 t=1344346974997 x=30.25838344 y=59.94151411 z=34.3 s=0.0 c=0.0 a=24.0>
<gps i=123 t=1344346976005 x=30.25838393 y=59.94151445 z=34.3 s=0.0 c=0.0 a=23.0>
